pageid,ns,title,contentmodel,pagelanguage,pagelanguagehtmlcode,pagelanguagedir,touched,lastrevid,length,talkid,fullurl,editurl,canonicalurl,article_rating,watchers,redirect,new
13368923,0,Hashmat Ghani Ahmadzai,wikitext,en,en,ltr,2024-10-13T15:58:12Z,1207743719,8585,28093454.0,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,https://en.wikipedia.org/w/index.php?title=Hashmat_Ghani_Ahmadzai&action=edit,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,C,108.0,,
25153929,0,Ismael Balkhi,wikitext,en,en,ltr,2024-10-13T20:04:45Z,1244521219,6810,28093455.0,https://en.wikipedia.org/wiki/Ismael_Balkhi,https://en.wikipedia.org/w/index.php?title=Ismael_Balkhi&action=edit,https://en.wikipedia.org/wiki/Ismael_Balkhi,Start,,,
10305348,0,Jan Baz,wikitext,en,en,ltr,2024-09-27T00:09:10Z,1227635806,1776,15014548.0,https://en.wikipedia.org/wiki/Jan_Baz,https://en.wikipedia.org/w/index.php?title=Jan_Baz&action=edit,https://en.wikipedia.org/wiki/Jan_Baz,Stub,,,
71600382,0,Khadija Zahra Ahmadi,wikitext,en,en,ltr,2024-10-13T16:08:25Z,1234741562,2569,71610138.0,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,https://en.wikipedia.org/w/index.php?title=Khadija_Zahra_Ahmadi&action=edit,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Stub,,,
35512380,0,Mahboba Hoqomal,wikitext,en,en,ltr,2024-10-13T20:05:38Z,1243745950,3137,37057619.0,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,https://en.wikipedia.org/w/index.php?title=Mahboba_Hoqomal&action=edit,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,Stub,,,
10483286,0,Majah Ha Adrif,wikitext,en,en,ltr,2024-09-30T14:32:18Z,1233202991,3188,13330265.0,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,https://en.wikipedia.org/w/index.php?title=Majah_Ha_Adrif&action=edit,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Start,,,
3056711,0,Masoud Khalili,wikitext,en,en,ltr,2024-10-13T15:55:26Z,1246566971,23129,7104082.0,https://en.wikipedia.org/wiki/Masoud_Khalili,https://en.wikipedia.org/w/index.php?title=Masoud_Khalili&action=edit,https://en.wikipedia.org/wiki/Masoud_Khalili,GA,94.0,,
39258771,0,Mirza Muhammad Ismail,wikitext,en,en,ltr,2024-10-12T10:26:35Z,1235165845,10878,39258729.0,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,https://en.wikipedia.org/w/index.php?title=Mirza_Muhammad_Ismail&action=edit,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,C,,,
64024293,0,Moeen Marastial,wikitext,en,en,ltr,2024-09-27T02:24:23Z,1246567093,7932,64026333.0,https://en.wikipedia.org/wiki/Moeen_Marastial,https://en.wikipedia.org/w/index.php?title=Moeen_Marastial&action=edit,https://en.wikipedia.org/wiki/Moeen_Marastial,Start,,,
24781312,0,Mohammad Daud Miraki,wikitext,en,en,ltr,2024-10-13T20:04:43Z,1227103354,6691,24793110.0,https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki,https://en.wikipedia.org/w/index.php?title=Mohammad_Daud_Miraki&action=edit,https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki,C,,,
